Date,Username,Rating,Review Text,Cleaned Review Text,Normalized Review Text,tokenize,Stopword Removal,Stemming Data
11/3/2025 15:01,Riko Sahril,1,tanpa kejelasan akun di blokir . padahal ga punya salah . katanya ada indikasi orderan fiktif . masa ada yang suka sama kita tiap Kastemer order pengennya kita ga boleh walaupun tiap hari . padahal ga di OFLAININ,tanpa kejelasan akun di blokir  padahal ga punya salah  katanya ada indikasi orderan fiktif  masa ada yang suka sama kita tiap kastemer order pengennya kita ga boleh walaupun tiap hari  padahal ga di oflainin,tanpa kejelasan akun di blokir padahal tidak punya salah katanya ada indikasi orderan fiktif masa ada yang suka sama kita tiap kastemer order pengennya kita tidak boleh walaupun tiap hari padahal tidak di oflainin,"['tanpa', 'kejelasan', 'akun', 'di', 'blokir', 'padahal', 'tidak', 'punya', 'salah', 'katanya', 'ada', 'indikasi', 'orderan', 'fiktif', 'masa', 'ada', 'yang', 'suka', 'sama', 'kita', 'tiap', 'kastemer', 'order', 'pengennya', 'kita', 'tidak', 'boleh', 'walaupun', 'tiap', 'hari', 'padahal', 'tidak', 'di', 'oflainin']","['kejelasan', 'akun', 'blokir', 'salah', 'indikasi', 'orderan', 'fiktif', 'suka', 'kastemer', 'order', 'pengennya', 'oflainin']",jelas akun blokir salah indikasi order fiktif suka kastemer order ken oflainin
11/3/2025 15:00,Agil Tum,1,di kota Garut gaada autobid nya,di kota garut gaada autobid nya,di kota garut tidak ada autobid ya,"['di', 'kota', 'garut', 'tidak', 'ada', 'autobid', 'ya']","['kota', 'garut', 'autobid', 'ya']",kota garut autobid ya
11/3/2025 14:36,Willy Ibrahim,5,bagus,bagus,bagus,['bagus'],['bagus'],bagus
11/3/2025 14:29,Mulyana Adhy,3,"Dari bulan Agustus - Oktober, sy mengalami hal ganjil: tdk ada order masuk tiba² ada chat cs & telepon masuk, di aplikasi cs/penumpang seolah sudah terhubung dgn rider/driver padahal tdk ada notif order masuk. Hal ini sangat urgent tuk diperbaiki dikarenakan akan ada cs² yg kecewa & bisa sj memberi penilaian jelek ke rider/driver seolah tdk direspon. Please fix it ASAP. Juga batasi jumlah rider/driver, lbh selektif. jgn sampai tdk seimbang dgn jumlah penumpang yg ada. Kota Bandung 🙏🏾 Thanks,",dari bulan agustus  oktober sy mengalami hal ganjil tdk ada order masuk tiba ada chat cs  telepon masuk di aplikasi cspenumpang seolah sudah terhubung dgn riderdriver padahal tdk ada notif order masuk hal ini sangat urgent tuk diperbaiki dikarenakan akan ada cs yg kecewa  bisa sj memberi penilaian jelek ke riderdriver seolah tdk direspon please fix it asap juga batasi jumlah riderdriver lbh selektif jgn sampai tdk seimbang dgn jumlah penumpang yg ada kota bandung  thanks,dari bulan agustus oktober saya mengalami hal ganjil tidak ada order masuk tiba ada chat cs telepon masuk di aplikasi cspenumpang seolah sudah terhubung dengan riderdriver padahal tidak ada notif order masuk hal ini sangat urgent untuk diperbaiki dikarenakan akan ada cs yang kecewa bisa saja memberi penilaian jelek ke riderdriver seolah tidak direspon please fix itu asap juga batasi jumlah riderdriver lebih selektif jangan sampai tidak seimbang dengan jumlah penumpang yang ada kota bandung thanks,"['dari', 'bulan', 'agustus', 'oktober', 'saya', 'mengalami', 'hal', 'ganjil', 'tidak', 'ada', 'order', 'masuk', 'tiba', 'ada', 'chat', 'cs', 'telepon', 'masuk', 'di', 'aplikasi', 'cspenumpang', 'seolah', 'sudah', 'terhubung', 'dengan', 'riderdriver', 'padahal', 'tidak', 'ada', 'notif', 'order', 'masuk', 'hal', 'ini', 'sangat', 'urgent', 'untuk', 'diperbaiki', 'dikarenakan', 'akan', 'ada', 'cs', 'yang', 'kecewa', 'bisa', 'saja', 'memberi', 'penilaian', 'jelek', 'ke', 'riderdriver', 'seolah', 'tidak', 'direspon', 'please', 'fix', 'itu', 'asap', 'juga', 'batasi', 'jumlah', 'riderdriver', 'lebih', 'selektif', 'jangan', 'sampai', 'tidak', 'seimbang', 'dengan', 'jumlah', 'penumpang', 'yang', 'ada', 'kota', 'bandung', 'thanks']","['agustus', 'oktober', 'mengalami', 'ganjil', 'order', 'masuk', 'chat', 'cs', 'telepon', 'masuk', 'aplikasi', 'cspenumpang', 'terhubung', 'riderdriver', 'notif', 'order', 'masuk', 'urgent', 'diperbaiki', 'cs', 'kecewa', 'penilaian', 'jelek', 'riderdriver', 'direspon', 'please', 'fix', 'asap', 'batasi', 'riderdriver', 'selektif', 'seimbang', 'penumpang', 'kota', 'bandung', 'thanks']",agustus oktober alami ganjil order masuk chat cs telepon masuk aplikasi cspenumpang hubung riderdriver notif order masuk urgent baik cs kecewa nilai jelek riderdriver direspon please fix asap batas riderdriver selektif imbang tumpang kota bandung thanks
11/3/2025 14:00,MUCHAMAD KHAMIM MARIYANTO,5,nice,nice,nice,['nice'],['nice'],nice
11/3/2025 13:58,Gilang Rindra,5,pekerjaan yang flexibel,pekerjaan yang flexibel,pekerjaan yang flexibel,"['pekerjaan', 'yang', 'flexibel']","['pekerjaan', 'flexibel']",kerja flexibel
11/3/2025 12:54,Ervina Agustina,1,"sangat"" buruk",sangat buruk,sangat buruk,"['sangat', 'buruk']",['buruk'],buruk
11/3/2025 12:50,Riza Iza,1,𝗚𝗔𝗥𝗢𝗕𝗟𝗢𝗚 𝗗𝗥𝗜𝗩𝗘𝗥 𝗡𝗔 𝗢𝗟𝗢 𝗢𝗟𝗢,    ,,[],[],
11/3/2025 12:28,samsung bachri,1,"posisi aplikasi Autobid ongkos nya ga tau mana bisa menawarkan ongkos wajar. kira kira lah masa 1km 1.400 driver itu modal HP, atribut, motor, kuota internet, bensin. naik becak saja sudah 20rb. ini untuk jarak 14.6 km ongkos kuterima 20rb!!!! bukan masalah ongkos flexible konsumen tapi tarif terlalu kemurahan karena autobid ga bisa nawarin ongkos yang sesuai dengan jarak tempuh yang wajar. masa jarak 14.6Km terima ongkos 20rb!!! kira kira pake otak dikit jangan taro didengkul !",posisi aplikasi autobid ongkos nya ga tau mana bisa menawarkan ongkos wajar kira kira lah masa km  driver itu modal hp atribut motor kuota internet bensin naik becak saja sudah rb ini untuk jarak  km ongkos kuterima rb bukan masalah ongkos flexible konsumen tapi tarif terlalu kemurahan karena autobid ga bisa nawarin ongkos yang sesuai dengan jarak tempuh yang wajar masa jarak km terima ongkos rb kira kira pake otak dikit jangan taro didengkul ,posisi aplikasi autobid ongkos ya tidak tau mana bisa menawarkan ongkos wajar kira kira lah masa kamu driver itu modal hp atribut motor kuota internet bensin naik becak saja sudah ribu ini untuk jarak kamu ongkos kuterima ribu bukan masalah ongkos flexible konsumen tapi tarif terlalu kemurahan karena autobid tidak bisa menawari ongkos yang sesuai dengan jarak tempuh yang wajar masa jarak kamu terima ongkos ribu kira kira pakai otak dikit jangan taro didengkul,"['posisi', 'aplikasi', 'autobid', 'ongkos', 'ya', 'tidak', 'tau', 'mana', 'bisa', 'menawarkan', 'ongkos', 'wajar', 'kira', 'kira', 'lah', 'masa', 'kamu', 'driver', 'itu', 'modal', 'hp', 'atribut', 'motor', 'kuota', 'internet', 'bensin', 'naik', 'becak', 'saja', 'sudah', 'ribu', 'ini', 'untuk', 'jarak', 'kamu', 'ongkos', 'kuterima', 'ribu', 'bukan', 'masalah', 'ongkos', 'flexible', 'konsumen', 'tapi', 'tarif', 'terlalu', 'kemurahan', 'karena', 'autobid', 'tidak', 'bisa', 'menawari', 'ongkos', 'yang', 'sesuai', 'dengan', 'jarak', 'tempuh', 'yang', 'wajar', 'masa', 'jarak', 'kamu', 'terima', 'ongkos', 'ribu', 'kira', 'kira', 'pakai', 'otak', 'dikit', 'jangan', 'taro', 'didengkul']","['posisi', 'aplikasi', 'autobid', 'ongkos', 'ya', 'tau', 'menawarkan', 'ongkos', 'wajar', 'driver', 'modal', 'hp', 'atribut', 'motor', 'kuota', 'internet', 'bensin', 'becak', 'ribu', 'jarak', 'ongkos', 'kuterima', 'ribu', 'ongkos', 'flexible', 'konsumen', 'tarif', 'kemurahan', 'autobid', 'menawari', 'ongkos', 'sesuai', 'jarak', 'tempuh', 'wajar', 'jarak', 'terima', 'ongkos', 'ribu', 'pakai', 'otak', 'dikit', 'taro', 'didengkul']",posisi aplikasi autobid ongkos ya tau tawar ongkos wajar driver modal hp atribut motor kuota internet bensin becak ribu jarak ongkos terima ribu ongkos flexible konsumen tarif murah autobid tawar ongkos sesuai jarak tempuh wajar jarak terima ongkos ribu pakai otak dikit taro dengkul
11/3/2025 11:55,Surati,5,"pelayanan yg baik, ramah dan pas dikantong.",pelayanan yg baik ramah dan pas dikantong,pelayanan yang baik ramah dan pas dikantong,"['pelayanan', 'yang', 'baik', 'ramah', 'dan', 'pas', 'dikantong']","['pelayanan', 'ramah', 'pas', 'dikantong']",layan ramah pas kantong
